Epoch,PPL,TPPL,VPPL
1,8597.2,8597.2, 
1,5439.2,5439.2, 
1,4233.99,4233.99, 
1,3894.16,3894.16, 
1,3514.14,3514.14, 
1,3267.63,3267.63, 
1,3295.75,3295.75, 
1,2790.5,2790.5, 
1,2822.44,2822.44, 
1,2907.71,2907.71, 
1,2728.25,2728.25, 
1,2485.56,2485.56, 
1,2524.35,2524.35, 
1,2646.48,2646.48, 
1,2537.89,2537.89, 
1,2197.32,2197.32, 
1,2394.2,2394.2, 
1,2165.7,2165.7, 
1,2288.55,2288.55, 
1,2102.62,2102.62, 
1,2234.05,2234.05, 
1,2097.1,2097.1, 
1,2140.97,2140.97, 
1,2329.53,2329.53, 
1,2175.17,2175.17, 
1,2109.13,2109.13, 
1,2090.1,2090.1, 
1,1890.84,1890.84, 
1,1886.45,1886.45, 
1,1899.66,1899.66, 
1,1840.84,1840.84, 
1,1782.19,1782.19, 
1,1688.1,1688.1, 
1,1790.74,1790.74, 
1,1701.63,1701.63, 
1,1624.85,1624.85, 
1,1688.55,1688.55, 
1,1670.15,1670.15, 
1,1517.98,1517.98, 
1,1513.27,1513.27, 
1,1431.19,1431.19, 
1,1436.56,1436.56, 
1,1452.02,1452.02, 
1,1236.89,1236.89, 
1,1168.33,1168.33, 
1,1244.77,1244.77, 
1,1248.51,1248.51, 
1,1178.54,1178.54, 
1,1261.1,1261.1, 
1,1168.46,1168.46, 
1,1175.29,1175.29, 
1,1070.89,1070.89, 
1,1080.52,1080.52, 
1,1173.71,1173.71, 
1,1029.21,1029.21, 
1,1102.85,1102.85, 
1,1051.62,1051.62, 
1,1053.72,1053.72, 
1,967.55,967.55, 
1,962.7,962.7, 
1,1006.96,1006.96, 
1,987.81,987.81, 
1,898.87,898.87, 
1,965,965, 
1,905.18,905.18, 
1,921.4,921.4, 
1,886.12,886.12, 
1,904.61,904.61, 
1,857.27,857.27, 
1,878.03,878.03, 
1,840.99,840.99, 
1,772.11,772.11, 
1,831.02,831.02, 
1,826.35,826.35, 
